=== 시트1: 값 변경됨 (기존 값 덮어씌워진 것, 즉시 확인 필요) ===
catalog_section,modelName,label,기존값(원본),현재값(확충후),올바른값(직접입력)
XPANEL 카탈로그,XT07CD-DN,화면 크기,7" (17.8 cm),7" Color TFT,
XPANEL 카탈로그,XT07CD-DN,해상도,800 × 480 (WVGA),800 × 480,
XPANEL 카탈로그,XT07CD-DN,색상,65,536색 (16 bit),65K Colors,
XPANEL 카탈로그,XT07CD-DN,소비전력,약 13 W,6W,
XPANEL 카탈로그,XT07CD-DN,입력 전원,DC 24V (±15%),DC 24V,
XPANEL 카탈로그,XT07CD-DE,화면 크기,7" (17.8 cm),7" Color TFT,
XPANEL 카탈로그,XT07CD-DE,해상도,800 × 480 (WVGA),800 × 480,
XPANEL 카탈로그,XT07CD-DE,색상,65,536색 (16 bit),65K Colors,
XPANEL 카탈로그,XT07CD-DE,소비전력,약 13 W,6W,
XPANEL 카탈로그,XT07CD-DE,입력 전원,AC 100-240V,DC 24V,
XPANEL 카탈로그,XT10CD-D,화면 크기,10.4" (26.4 cm),10.4" Color TFT,
XPANEL 카탈로그,XT10CD-D,해상도,800 × 600 (SVGA),800 × 600,
XPANEL 카탈로그,XT10CD-D,색상,262,144색 (18 bit),262K Colors,
XPANEL 카탈로그,XT10CD-D,소비전력,약 15 W,9W,
XPANEL 카탈로그,XT10CD-D,입력 전원,DC 24V (±15%),DC 24V,
XPANEL 카탈로그,XT10CD-A,화면 크기,10.4" (26.4 cm),10.4" Color TFT,
XPANEL 카탈로그,XT10CD-A,해상도,800 × 600 (SVGA),800 × 600,
XPANEL 카탈로그,XT10CD-A,색상,262,144색 (18 bit),262K Colors,
XPANEL 카탈로그,XT10CD-A,오디오,오디오 포트 내장,없음,
XPANEL 카탈로그,XT10CD-A,입력 전원,DC 24V (±15%),AC 100~240V,
XPANEL 카탈로그,iXT10CD-A,입력 전원,DC 24V (±15%),AC 100~240V,
XPANEL 카탈로그,iXT12CD-A,입력 전원,DC 24V (±15%),AC 100~240V,
XPANEL 카탈로그,iXT15CD-A,입력 전원,DC 24V (±15%),AC 100~240V,

=== 시트2: 신규 추가된 catalog 항목 (확충시 추가, 검증 필요) ===
catalog_section,modelName,label,현재값,올바른값(직접입력_맞으면그대로_틀리면수정_없는항목이면DELETE)
CM1 PLC 카탈로그,CM1-UP1F,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-UP1F,프로그램 언어,LD, IL, SFC, ST, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-UP1F,타이머 (T),4,096개 (10ms / 100ms 선택),
CM1 PLC 카탈로그,CM1-UP1F,카운터 (C),4,096개,
CM1 PLC 카탈로그,CM1-UP1F,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-UP1F,베이스 증설,로컬 베이스 + 최대 31 증설 베이스 (Line 증설),
CM1 PLC 카탈로그,CM1-UP1F,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-UP1F,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-UP1F,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-UP1F,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-UP2F,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-UP2F,프로그램 언어,LD, IL, SFC, ST, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-UP2F,타이머 (T),4,096개 (10ms / 100ms 선택),
CM1 PLC 카탈로그,CM1-UP2F,카운터 (C),4,096개,
CM1 PLC 카탈로그,CM1-UP2F,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-UP2F,베이스 증설,로컬 베이스 + 최대 31 증설 베이스 (Line 증설),
CM1 PLC 카탈로그,CM1-UP2F,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-UP2F,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-UP2F,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-UP2F,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-UP3F,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-UP3F,프로그램 언어,LD, IL, SFC, ST, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-UP3F,타이머 (T),4,096개 (10ms / 100ms 선택),
CM1 PLC 카탈로그,CM1-UP3F,카운터 (C),4,096개,
CM1 PLC 카탈로그,CM1-UP3F,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-UP3F,베이스 증설,로컬 베이스 + 최대 31 증설 베이스 (Line 증설),
CM1 PLC 카탈로그,CM1-UP3F,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-UP3F,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-UP3F,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-UP3F,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-XP1F,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-XP1F,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-XP1F,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-XP1F,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-XP1F,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-XP1F,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-XP1F,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-XP2F,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-XP2F,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-XP2F,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-XP2F,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-XP2F,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-XP2F,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-XP2F,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-XP3F,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-XP3F,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-XP3F,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-XP3F,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-XP3F,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-XP3F,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-XP3F,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-XP1E,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-XP1E,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-XP1E,내장 시리얼,RS-232C 1ch (프로그래밍용),
CM1 PLC 카탈로그,CM1-XP1E,동작 온도,-10~65°C,
CM1 PLC 카탈로그,CM1-XP1E,보존 온도,-25~80°C,
CM1 PLC 카탈로그,CM1-XP1E,상대 습도,5~95%RH (비결로),
CM1 PLC 카탈로그,CM1-XP1E,보호 등급,IP20,
CM1 PLC 카탈로그,CM1-XP2E,연산 방식,반복 연산,
CM1 PLC 카탈로그,CM1-XP2E,프로그램 언어,LD, IL, SFC, FBD (IEC 61131-3),
CM1 PLC 카탈로그,CM1-XP2E,내장 시리얼,RS-232C 1ch (프로그래밍용),
